dataset,model,defender,latency,input tokens,output tokens,energy,full_compliance,full_refusal,partial_refusal
xs,gemma,base,12.53,20.32,231.22,2322.09,47.66,35.86,16.48
oa,qwen,PPL,8.78,50.20,220.19,2160.41,55.51,43.31,1.18
oa,llama3,Self-Exam,14.03,623.07,562.69,3379.71,92.52,5.12,2.36
xs,llama3,llamaguard,5.60,472.23,227.84,1347.49,52.00,41.78,6.22
xs,llama3,intentionanalysi,5.37,386.83,214.18,1262.13,28.29,62.36,9.35
oa,mistral,base,12.04,40.09,428.74,2535.96,94.49,1.97,3.54
xs,mistral,ICD,3.60,62.31,127.92,759.45,68.15,23.39,8.46
oa,deepseek,prioritygoal,17.13,818.92,307.48,1495.14,94.88,3.15,1.97
oa,gemma,Self-Exam,23.33,427.84,381.09,4627.03,89.76,5.12,5.12
xs,deepseek,smoothllm,71.69,140.24,1335.66,6747.51,55.11,41.78,3.11
oa,qwen,prioritygoal,7.89,796.42,345.49,2017.21,95.67,1.18,3.15
oa,deepseek,intentionanalysi,19.15,443.90,340.81,1624.55,37.60,44.80,17.60
oa,deepseek,ICD,23.58,90.92,425.70,1974.44,96.06,1.57,2.36
xs,gemma,llamaguard,12.59,440.39,233.72,2412.68,49.67,33.41,16.93
xs,llama3,smoothllm,32.82,277.48,1354.91,7960.10,52.89,41.11,6.00
oa,mistral,smoothllm,73.90,242.56,2596.42,15220.98,93.70,3.54,2.76
oa,gemma,llamaguard,21.69,651.02,356.83,4251.02,90.55,2.76,6.69
oa,qwen,selfParaphrase,9.12,128.21,403.53,2245.95,93.70,3.15,3.15
xs,qwen,Retokenization,4.62,45.65,215.44,1226.17,51.00,39.87,9.13
oa,deepseek,Retokenization,18.44,93.57,331.58,1555.31,47.79,29.72,22.49
xs,mistral,llamaguard,7.21,437.26,255.52,1524.75,65.11,16.67,18.22
xs,qwen,selfParaphrase,5.25,84.49,244.66,1410.00,56.57,35.19,8.24
oa,phi,Self-Reminder,17.88,89.13,513.00,2088.04,92.09,2.37,5.53
oa,phi,intentionanalysi,41.21,873.85,1180.15,5808.31,37.10,34.27,28.63
oa,llama3,llamaguard,12.26,782.39,496.08,2952.20,94.88,2.76,2.36
oa,mistral,llamaguard,12.11,615.27,428.20,2524.71,95.24,1.98,2.78
oa,mistral,PPL,12.98,40.09,266.83,2707.44,54.33,43.31,2.36
oa,llama3,smoothllm,73.89,402.07,2964.40,17572.00,95.28,1.57,3.15
oa,qwen,Retokenization,6.97,103.66,307.81,1720.23,75.49,13.04,11.46
xs,deepseek,prioritygoal,8.52,795.62,156.03,848.82,42.54,52.12,5.35
xs,qwen,PPL,4.59,29.27,194.73,1206.21,48.89,45.33,5.78
xs,deepseek,selfdefend,1.79,100.63,30.42,160.99,5.79,85.30,8.91
xs,mistral,prioritygoal,5.39,825.31,186.80,1197.01,54.12,33.41,12.47
xs,mistral,selfParaphrase,13.99,266.73,492.60,3060.67,66.44,11.86,21.70
xs,phi,selfdefend,1.94,103.74,59.50,274.22,20.85,59.64,19.51
xs,phi,PPL,14.12,14.73,387.26,1995.99,56.67,33.33,10.00
xs,mistral,selfdefend,1.93,104.31,67.73,404.23,29.69,47.54,22.77
xs,qwen,Self-Reminder,4.72,64.27,219.71,1248.80,61.11,31.78,7.11
oa,phi,prioritygoal,17.24,888.15,492.15,2452.83,96.05,1.98,1.98
xs,qwen,llamaguard,4.69,442.00,215.63,1206.59,53.78,38.89,7.33
xs,qwen,selfdefend,0.76,109.28,35.35,195.21,13.87,64.21,21.92
